iter	Passed	Remaining
0	145	145187
1	146	73029
2	147	48921
3	147	36754
4	148	29461
5	148	24591
6	148	21123
7	149	18511
8	149	16485
9	150	14872
10	150	13555
11	151	12467
12	152	11568
13	153	10799
14	154	10126
15	154	9512
16	155	8982
17	155	8497
18	156	8078
19	157	7703
20	157	7363
21	158	7049
22	158	6754
23	159	6490
24	160	6240
25	160	6012
26	161	5807
27	161	5617
28	162	5439
29	163	5273
30	163	5114
31	164	4961
32	164	4821
33	165	4689
34	165	4562
35	165	4441
36	166	4327
37	166	4219
38	167	4118
39	167	4022
40	168	3930
41	168	3841
42	168	3757
43	169	3676
44	169	3602
45	170	3531
46	170	3463
47	171	3397
48	171	3333
49	172	3271
50	172	3211
51	173	3154
52	173	3099
53	173	3046
54	174	2995
55	174	2947
56	175	2899
57	175	2852
58	176	2808
59	176	2765
60	176	2724
61	177	2684
62	177	2645
63	178	2607
64	178	2571
65	179	2536
66	179	2502
67	180	2468
68	180	2435
69	180	2403
70	181	2372
71	181	2342
72	182	2312
73	182	2283
74	182	2255
75	183	2228
76	183	2202
77	184	2176
78	184	2151
79	184	2126
80	185	2102
81	185	2079
82	185	2054
83	186	2031
84	186	2010
85	187	1990
86	187	1970
87	188	1950
88	188	1930
89	189	1912
90	189	1893
91	189	1874
92	190	1856
93	190	1838
94	191	1820
95	191	1803
96	191	1786
97	192	1770
98	192	1754
99	193	1738
100	193	1722
101	193	1707
102	194	1692
103	194	1677
104	195	1663
105	195	1649
106	196	1635
107	196	1622
108	196	1609
109	197	1596
110	197	1584
111	198	1571
112	198	1558
113	198	1546
114	199	1534
115	199	1522
116	200	1510
117	200	1498
118	200	1487
119	201	1476
120	201	1465
121	202	1454
122	202	1443
123	202	1433
124	203	1422
125	203	1412
126	203	1402
127	204	1392
128	204	1383
129	205	1373
130	205	1364
131	206	1355
132	206	1346
133	206	1337
134	207	1328
135	207	1320
136	208	1311
137	208	1303
138	209	1294
139	209	1286
140	209	1278
141	210	1269
142	210	1261
143	210	1253
144	211	1245
145	211	1238
146	212	1231
147	212	1223
148	212	1216
149	213	1209
150	213	1202
151	214	1195
152	214	1188
153	215	1181
154	215	1175
155	215	1168
156	216	1161
157	216	1155
158	217	1148
159	217	1142
160	217	1135
161	218	1129
162	218	1123
163	219	1117
164	219	1111
165	220	1105
166	220	1099
167	220	1093
168	221	1088
169	221	1082
170	222	1076
171	222	1071
172	222	1065
173	223	1060
174	223	1055
175	224	1049
176	224	1044
177	225	1039
178	225	1034
179	225	1028
180	226	1023
181	226	1018
182	227	1013
183	227	1008
184	227	1003
185	228	998
186	228	994
187	229	989
188	229	984
189	229	980
190	230	975
191	230	971
192	231	966
193	231	962
194	232	957
195	232	953
196	232	949
197	233	944
198	233	940
199	234	936
200	234	932
201	234	927
202	235	923
203	235	919
204	236	915
205	236	911
206	236	907
207	237	903
208	237	899
209	238	895
210	238	891
211	238	888
212	239	884
213	239	880
214	240	877
215	240	873
216	241	869
217	241	866
218	241	862
219	242	859
220	242	855
221	243	851
222	243	848
223	243	845
224	244	841
225	244	838
226	245	834
227	245	831
228	246	828
229	246	825
230	246	821
231	247	818
232	247	815
233	248	812
234	248	808
235	248	805
236	249	802
237	249	799
238	250	796
239	250	793
240	250	790
241	251	787
242	251	784
243	252	781
244	252	778
245	252	775
246	253	772
247	253	769
248	254	766
249	254	764
250	255	761
251	255	758
252	255	755
253	256	752
254	256	749
255	257	747
256	257	744
257	258	742
258	258	739
259	258	736
260	259	734
261	259	731
262	260	728
263	260	726
264	260	723
265	261	720
266	261	718
267	262	715
268	262	713
269	262	710
270	263	708
271	263	705
272	264	703
273	264	700
274	264	698
275	265	695
276	265	693
277	266	691
278	266	688
279	267	686
280	267	684
281	267	681
282	268	679
283	268	677
284	268	674
285	269	672
286	269	670
287	270	667
288	270	665
289	270	663
290	271	661
291	271	658
292	272	656
293	272	654
294	272	652
295	273	650
296	273	647
297	274	645
298	274	643
299	275	641
300	275	639
301	275	637
302	276	635
303	276	633
304	277	631
305	277	629
306	277	627
307	278	625
308	278	623
309	279	621
310	279	619
311	279	617
312	280	615
313	280	613
314	281	611
315	281	609
316	281	607
317	282	605
318	282	603
319	283	601
320	283	599
321	284	598
322	284	596
323	284	594
324	285	592
325	285	590
326	286	588
327	286	586
328	286	585
329	287	583
330	287	581
331	288	579
332	288	577
333	288	575
334	289	574
335	289	572
336	290	570
337	290	568
338	290	567
339	291	565
340	291	563
341	292	562
342	292	560
343	292	558
344	293	557
345	293	555
346	294	553
347	294	551
348	295	550
349	295	548
350	295	546
351	296	545
352	296	543
353	296	541
354	297	540
355	297	538
356	298	537
357	298	535
358	298	533
359	299	532
360	299	530
361	300	529
362	300	527
363	301	525
364	301	524
365	301	522
366	302	521
367	302	519
368	303	518
369	303	516
370	303	515
371	304	513
372	304	512
373	305	510
374	305	509
375	305	507
376	306	506
377	306	504
378	307	503
379	307	501
380	307	500
381	308	498
382	308	497
383	309	495
384	309	494
385	310	493
386	310	491
387	310	490
388	311	488
389	311	487
390	312	486
391	312	484
392	312	483
393	313	482
394	313	480
395	314	479
396	314	477
397	315	476
398	315	475
399	315	473
400	316	472
401	316	471
402	317	469
403	317	468
404	317	467
405	318	465
406	318	464
407	319	463
408	319	461
409	319	460
410	320	459
411	320	457
412	321	456
413	321	455
414	321	453
415	322	452
416	322	451
417	323	449
418	323	448
419	323	447
420	324	446
421	324	444
422	325	443
423	325	442
424	325	440
425	326	439
426	326	438
427	327	437
428	327	436
429	328	434
430	328	433
431	328	432
432	329	431
433	329	429
434	330	428
435	330	427
436	330	426
437	331	425
438	331	423
439	332	422
440	332	421
441	332	420
442	333	419
443	333	418
444	334	416
445	334	415
446	335	414
447	335	413
448	335	412
449	336	411
450	336	409
451	337	408
452	337	407
453	337	406
454	338	405
455	338	404
456	339	403
457	339	401
458	340	400
459	340	399
460	340	398
461	341	397
462	341	396
463	342	395
464	342	394
465	342	392
466	343	391
467	343	390
468	344	389
469	344	388
470	345	387
471	345	386
472	345	385
473	346	384
474	346	383
475	347	382
476	347	380
477	347	379
478	348	378
479	348	377
480	349	376
481	349	375
482	349	374
483	350	373
484	350	372
485	351	371
486	351	370
487	351	369
488	352	368
489	352	367
490	353	366
491	353	365
492	354	364
493	354	363
494	354	362
495	355	361
496	355	360
497	356	359
498	356	358
499	357	357
500	357	356
501	358	355
502	358	354
503	358	353
504	359	352
505	359	351
506	360	350
507	360	349
508	361	348
509	361	347
510	362	346
511	362	345
512	362	344
513	363	343
514	363	342
515	364	341
516	364	340
517	365	339
518	365	338
519	365	337
520	366	336
521	366	335
522	367	334
523	367	333
524	367	332
525	368	331
526	368	330
527	369	330
528	369	329
529	370	328
530	370	327
531	370	326
532	371	325
533	371	324
534	372	323
535	372	322
536	373	321
537	373	320
538	373	319
539	374	318
540	374	317
541	375	316
542	375	316
543	375	315
544	376	314
545	376	313
546	377	312
547	377	311
548	377	310
549	378	309
550	378	308
551	379	307
552	379	306
553	380	306
554	380	305
555	380	304
556	381	303
557	381	302
558	382	301
559	382	300
560	383	299
561	383	298
562	383	297
563	384	297
564	384	296
565	385	295
566	385	294
567	385	293
568	386	292
569	386	291
570	387	290
571	387	290
572	388	289
573	388	288
574	388	287
575	389	286
576	389	285
577	390	284
578	390	283
579	390	283
580	391	282
581	391	281
582	392	280
583	392	279
584	393	278
585	393	277
586	393	277
587	394	276
588	394	275
589	395	274
590	395	273
591	395	272
592	396	272
593	396	271
594	397	270
595	397	269
596	398	268
597	398	267
598	398	267
599	399	266
600	399	265
601	400	264
602	400	263
603	400	262
604	401	262
605	401	261
606	402	260
607	402	259
608	402	258
609	403	257
610	403	257
611	404	256
612	404	255
613	405	254
614	405	253
615	405	253
616	406	252
617	406	251
618	407	250
619	407	249
620	407	249
621	408	248
622	408	247
623	409	246
624	409	245
625	410	244
626	410	244
627	410	243
628	411	242
629	411	241
630	412	240
631	412	240
632	412	239
633	413	238
634	413	237
635	414	237
636	414	236
637	415	235
638	415	234
639	415	233
640	416	233
641	416	232
642	417	231
643	417	230
644	417	230
645	418	229
646	418	228
647	419	227
648	419	226
649	419	226
650	420	225
651	420	224
652	421	223
653	421	223
654	421	222
655	422	221
656	422	220
657	423	220
658	423	219
659	424	218
660	424	217
661	424	216
662	425	216
663	425	215
664	426	214
665	426	213
666	427	213
667	427	212
668	427	211
669	428	210
670	428	210
671	429	209
672	429	208
673	429	207
674	430	207
675	430	206
676	431	205
677	431	204
678	431	204
679	432	203
680	432	202
681	433	202
682	433	201
683	434	200
684	434	199
685	434	199
686	435	198
687	435	197
688	436	196
689	436	196
690	436	195
691	437	194
692	437	193
693	438	193
694	438	192
695	439	191
696	439	191
697	440	190
698	440	189
699	440	188
700	441	188
701	441	187
702	442	186
703	442	186
704	442	185
705	443	184
706	443	183
707	444	183
708	444	182
709	444	181
710	445	181
711	445	180
712	446	179
713	446	178
714	446	178
715	447	177
716	447	176
717	448	176
718	448	175
719	449	174
720	449	173
721	449	173
722	450	172
723	450	171
724	451	171
725	451	170
726	451	169
727	452	169
728	452	168
729	453	167
730	453	166
731	453	166
732	454	165
733	454	164
734	455	164
735	455	163
736	455	162
737	456	162
738	456	161
739	457	160
740	457	159
741	458	159
742	458	158
743	458	157
744	459	157
745	459	156
746	460	155
747	460	155
748	461	154
749	461	153
750	461	153
751	462	152
752	462	151
753	463	151
754	463	150
755	464	149
756	464	149
757	464	148
758	465	147
759	465	147
760	466	146
761	466	145
762	467	145
763	467	144
764	467	143
765	468	143
766	468	142
767	469	141
768	469	141
769	469	140
770	470	139
771	470	139
772	471	138
773	471	137
774	471	137
775	472	136
776	472	135
777	473	135
778	473	134
779	474	133
780	474	133
781	475	132
782	475	131
783	475	131
784	476	130
785	476	129
786	477	129
787	477	128
788	477	127
789	478	127
790	478	126
791	479	125
792	479	125
793	480	124
794	480	123
795	480	123
796	481	122
797	481	121
798	482	121
799	482	120
800	483	119
801	483	119
802	483	118
803	484	118
804	484	117
805	485	116
806	485	116
807	485	115
808	486	114
809	486	114
810	487	113
811	487	112
812	487	112
813	488	111
814	488	110
815	489	110
816	489	109
817	490	109
818	490	108
819	490	107
820	491	107
821	491	106
822	492	105
823	492	105
824	493	104
825	493	103
826	494	103
827	494	102
828	494	102
829	495	101
830	495	100
831	496	100
832	496	99
833	496	98
834	497	98
835	497	97
836	498	97
837	498	96
838	499	95
839	499	95
840	499	94
841	500	93
842	500	93
843	501	92
844	501	92
845	502	91
846	502	90
847	502	90
848	503	89
849	503	88
850	504	88
851	504	87
852	505	87
853	505	86
854	505	85
855	506	85
856	506	84
857	507	83
858	507	83
859	508	82
860	508	82
861	508	81
862	509	80
863	509	80
864	510	79
865	510	79
866	511	78
867	511	77
868	511	77
869	512	76
870	512	75
871	513	75
872	513	74
873	514	74
874	514	73
875	514	72
876	515	72
877	515	71
878	516	71
879	516	70
880	516	69
881	517	69
882	517	68
883	518	68
884	518	67
885	519	66
886	519	66
887	520	65
888	520	64
889	520	64
890	521	63
891	521	63
892	522	62
893	522	61
894	523	61
895	523	60
896	523	60
897	524	59
898	524	58
899	525	58
900	525	57
901	525	57
902	526	56
903	526	55
904	527	55
905	527	54
906	528	54
907	528	53
908	528	52
909	529	52
910	529	51
911	530	51
912	530	50
